time: 7.59.30 | Traxxas: :;emote 930 

time: 15.33.15 | traxxas: moo

time: 16.51.16 | traxxas: lets get down to buisness

time: 17.7.1 | traxxas: mee

time: 17.7.2 | traxxas: meeme 

time: 17.7.2 | traxxas: em 

time: 17.7.3 | traxxas: em 

time: 17.7.3 | traxxas: eme

time: 17.7.4 | traxxas: emem

time: 17.7.4 | traxxas: eme

time: 17.7.5 | traxxas: em 

time: 17.7.6 | traxxas: e 

time: 17.7.7 | traxxas: meme

time: 17.7.8 | traxxas: meme

time: 17.7.9 | traxxas: meme

time: 17.7.10 | traxxas: meme

time: 17.7.11 | traxxas: meme

time: 17.7.12 | traxxas: meme

time: 17.7.13 | traxxas: meme

time: 7.53.43 | a: k

time: 20.30.42 | traxxas: loololo0loiooooop 

time: 20.55.32 | traxxas: hey

time: 20.59.37 | traxxas: tthere

time: 20.5.58 | traxxas: @blu@@blu@hey

time: 17.50.26 | traxxas: s 

time: 17.50.28 | traxxas: wc

time: 17.50.37 | traxxas: direct 

time: 17.50.44 | traxxas: portals work 

time: 17.50.58 | traxxas: skillz

time: 17.51.10 | traxxas: train 

time: 17.51.15 | traxxas: all shops

time: 17.51.33 | traxxas: yea

time: 17.51.42 | traxxas: ake m co 

time: 17.51.42 | traxxas: lol 

time: 17.51.48 | traxxas: notes is co

time: 17.51.55 | traxxas: alright

time: 17.51.58 | traxxas: chief of staff 

time: 17.51.59 | traxxas: kk

time: 17.52.1 | traxxas: wait 

time: 17.52.3 | traxxas: nika is chief

time: 17.52.4 | traxxas: of staff 

time: 17.52.6 | traxxas: you can be 

time: 17.52.7 | traxxas: head admin 

time: 17.52.14 | traxxas: ww

time: 17.52.18 | traxxas: wwhaots the difference 

time: 17.52.20 | traxxas: bneot steen

time: 17.52.23 | traxxas: chief of staff 

time: 17.52.26 | traxxas: and head admin 

time: 17.52.28 | traxxas: well 

time: 17.52.30 | traxxas: head admin 

time: 17.52.32 | traxxas: is in charge

time: 17.52.33 | traxxas: of admins 

time: 17.52.37 | traxxas: head of staff

time: 17.52.41 | traxxas: controls who is staff 

time: 17.52.45 | traxxas: and what happes

time: 17.52.47 | traxxas: happens 

time: 17.52.52 | traxxas: need to finish wesr 

time: 17.52.53 | traxxas: west 

time: 17.52.57 | traxxas: also

time: 17.53.1 | traxxas: finish it now 

time: 17.53.36 | traxxas: damn 

time: 17.53.54 | traxxas: demon isla nd

time: 17.54.6 | traxxas: pe oeple q 

time: 17.54.14 | traxxas: pwople will knwo where it's at

time: 17.54.19 | traxxas: it's supposed to be hidden

time: 17.54.20 | traxxas: yea

time: 17.54.24 | traxxas: its not full demon island 

time: 17.54.27 | traxxas: this is just 

time: 17.54.30 | traxxas: a substitute 

time: 17.54.32 | traxxas: i was  using it 

time: 17.54.34 | traxxas: to do 

time: 17.54.36 | traxxas: drops

time: 17.54.37 | traxxas: and stuff 

time: 17.54.43 | traxxas: looked like a cool place 

time: 17.55.30 | traxxas: ?

time: 17.55.34 | traxxas: how did i do that

time: 17.55.35 | traxxas: lol 

time: 17.55.40 | traxxas: i just did ::noclip

time: 17.55.46 | traxxas: noclip bans

time: 17.55.48 | traxxas: its not aded

time: 17.55.49 | traxxas: added 

time: 17.55.53 | traxxas: as a proper commands 

time: 17.55.55 | traxxas: command

time: 17.56.1 | traxxas: lol 

time: 17.56.7 | traxxas: i'll tell you what 

time: 17.56.13 | traxxas: what if i can  

time: 17.56.30 | traxxas: tell u the reason why i should bchief of staff

time: 17.56.35 | traxxas: kk

time: 17.56.38 | traxxas: alright

time: 17.56.41 | traxxas: first off

time: 17.56.45 | traxxas: i am an organized

time: 17.56.51 | traxxas: schedule 

time: 17.56.53 | traxxas: director 

time: 17.56.55 | traxxas: kk

time: 17.56.58 | traxxas: im going in a min 

time: 17.56.59 | traxxas: :s 

time: 17.57.4 | traxxas: my ida dcan

time: 17.57.7 | traxxas: start meetings

time: 17.57.20 | traxxas: plus i am head of gma

time: 17.57.31 | traxxas: and i' k more useful

time: 17.57.37 | traxxas: tan nika 

time: 17.57.44 | traxxas: kk

time: 17.57.54 | traxxas: jusi tc think about it

time: 17.57.56 | traxxas: kk

time: 17.57.57 | traxxas: ill see 

time: 17.58.37 | traxxas: need to add 

time: 17.58.39 | traxxas: the fishing spots

time: 17.58.49 | traxxas: hm 

time: 17.58.56 | traxxas: kk

time: 17.58.58 | traxxas: im going now

